id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,transportation,virtual,website
1,1,,,,No description provided,,,,,"1430 East Avenue, Suite 4A, Chico, CA 95926",,false,
2,2,,,,No description provided,,,,,620 Main Street,,false,
3,3,,,,No description provided,,,,,Main Office,,false,
4,4,,,,No description provided,,,,,Sacramento Regional Office,,false,
5,5,,,,No description provided,,,,,"Headquarters, Farm on Putah Creek",,false,
6,5,,,,No description provided,,,,,Office At Park Moderns,,false,
7,6,,,,No description provided,,,,,Downtown Chico Municipal Building,,false,
8,7,,,,No description provided,,,,,Main Office,,false,
9,8,,,,No description provided,,,,,1527 I Street,,false,
10,9,,,,No description provided,,,,,2400 Del Paso Rd.,,false,
11,10,,,,No description provided,,,,,Main Office,,false,
12,11,,,,No description provided,,,,,Main Office,,false,
13,12,,,,No description provided,,,,,Administrative Office,,false,
14,13,,,,No description provided,,,,,"1325 J Street, 18th Floor, Sacramento, CA 95814",,false,
15,14,,,,No description provided,,,,,Headquarters,,false,
16,15,,,,No description provided,,,,,Midtown Hacker Lab,,false,
17,15,,,,No description provided,,,,,Rocklin Hacker Lab,,false,
18,16,,,,No description provided,,,,,Main Office,,false,
19,17,,,,No description provided,,,,,Main Office,,false,
20,18,,,,No description provided,,,,,925 Del Paso Blvd,,false,
21,19,,,,No description provided,,,,,HQ,,false,
22,20,,,,No description provided,,,,,Urban Hive,,false,
23,21,,,,No description provided,,,,,Sacramento,,true,
24,22,,,,No description provided,,,,,Sacramento State,,false,
25,23,,,,No description provided,,,,,Health Education Council,,false,
26,24,,,,No description provided,,,,,"Roseville, California",,false,
27,25,,,,No description provided,,,,,2320 Broadway,,false,
