id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website,twitter,facebook,linkedin
1,,,,an Economic Development District and a Community Development Financial Instition,,,,,"3CORE, Inc.",,,http://www.3coreedc.org,,,
2,,AgTech Innovation Alliance,,Non-profit incubator for Ag-&-Food tech startups in California's Sacramento Valley Region,,,,,AgStart,,,http://www.agstart.org,http://twitter.com/AgStart,https://www.facebook.com/AgStartIncubator/,https://www.linkedin.com/groups/6993074
3,,,,"Early stage investment, M&A and Organizational assessemnt",,,,,Akers Capital LLC,,,http://www.akerscapital.com,,,
4,,,,SBA 504 loan program provides up to 90% financing for owner occupied commercial real estate,,,,,CDC Small Business Finance,,,http://www.cdcloans.com,,,
5,,CLBL,,"We Inspire, Educate, and Cultivate future agricultural leaders and natural resource stewards.",,,,,Center for Land-Based Learning,,,http://landbasedlearning.org,http://twitter.com/LandBasedEd,https://www.facebook.com/landbasedlearning,https://www.linkedin.com/company/center-for-land-based-learning
6,,CEPCO,,We are a startup incubator and an integral part of our entrepreneurial ecosystem!,,,,,Chicostart,,,http://chicostart.com,http://twitter.com/Chicostart530,https://www.facebook.com/Chicostart,https://www.linkedin.com/groups/35697
7,,,,"Providing Education, Networking, and Fundraising for Sac Region Clean Tech Startups since 2005",,,,,CleanStart Inc.,,,http://www.cleanstart.org,http://twitter.com/cleantechsac,https://www.facebook.com/CleanStartSacramento,https://www.linkedin.com/company/cleanstart-sacramento/
8,,Video Production Sacramento,,"Video production services, creative storytelling, documentary filmmakers, video editors, creative",,,,,Dynasty Video Productions,,,http://dynastyvideo.com,https://twitter.com/DynastyVideo,https://www.facebook.com/DynastyVideo/,https://www.linkedin.com/in/dynastyvideoproductions/
9,,,,Community Bank with Bandwidth,,,,,Five Star Bank,,,http://www.fivestarbank.com,,,
10,,FRP,,The Florin Road Partnership Property & Business Improvement District (FRP PBID) provides leadership,,,,,Florin Road Partnership,,,http://www.florinroad.com,,https://www.facebook.com/FlorinRdPtshp/,
11,,FBBA,,"Business Improvement District, Franklin Blvd providing business services and economic development",,,,,Franklin Blvd Business Association,,,http://www.montereytraildistrict.com,https://twitter.com/MTDistrict,https://www.facebook.com/historicmontereytraildistrict/,
12,,Golden Sierra,,Workforce Development: Get Paid to Hire,,,,,Golden Sierra Job Training Agency,,,http://goldensierra.com/,https://twitter.com/GethiredGS,https://www.facebook.com/GoldenSierraJobTrainingAgency,https://www.linkedin.com/company/golden-sierra/
13,,GO-Biz,,Serves as California’s single point of contact for economic development and job creation efforts.,,,,,Governor's Office of Business and Economic Development,,,http://www.business.ca.gov/,https://twitter.com/CAGoBiz,https://www.facebook.com/CAGOBiz/,https://www.linkedin.com/company/3124496/
14,,National Development Council,,GAF is an SBA preferred small business lender,,,,,Grow America Fund,,,http://ndconline.org,,,
15,,,,Community space for Makers and Co working,,,,,Hacker Lab,,,http://hackerlab.org,https://twitter.com/SacHackerLab?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/SacHackerLab/,https://www.linkedin.com/company/hacker-lab
16,,,,MedStart is a regional economic development network for biotech and medical technology industry .,,,,,MedStart,,,http://www.medstart.org,http://twitter.com/MedStart,,
17,,,,Our programs empower immigrants to achieve self-sufficiency and reach business and financial goals,,,,,Opening Doors,,,http://www.openingdoorsinc.org,https://twitter.com/OpeningDoorsInc,https://www.facebook.com/OpeningDoorsInc,
18,,Sacramento Works,,Community and Workforce Development,,,,,Sacramento Employment and Training Agency,,,http://seta.net,,,
19,,SEA,,SEA educates and mentors aspiring entrepreneurs in the Capital Region.,,,,,Sacramento Entrepreneurship Academy,,,http://sealink.org,http://twitter.com/sactopreneur,https://www.facebook.com/profile.php?id=100012287746664,https://www.linkedin.com/in/sacramento-entrepreneurship-academy-5642334/
20,,Startup Grind,,"Startup Grind is a global startup community designed to educate, inspire, and connect entrepreneurs.",,,,,Startup Grind Sacramento,,,https://www.startupgrind.com/sacramento/,https://twitter.com/StartupGrindSac,https://www.facebook.com/startupgrindsac/,https://www.linkedin.com/company/2693414/
21,,,,"Informing, educating, empowering, and connecting Sacramento's startup founders and innovators.",,,,,StartupSac,,,http://startupsac.com/,https://twitter.com/sacstartup,https://www.facebook.com/StartupSac/,
22,,,,A new venture incubator & entrepreneurial education provider,,,,,The Center for Entrepreneurship,,,http://www.csus.edu/cba/cfe.html,,,
23,,Health Education Council,,The Glue Factory provides a free innovative and supportive co-working environment for entrepreneurs,,,,,The Glue Factory,,,https://atgluefactory.com/,http://twitter.com/atgluefactory,https://www.facebook.com/atgluefactory/,
24,,T.H.D.,,Turning Heads Designs creates award winning graphic design in print and web medias.,,,,,Turning Heads Designs,,,http://www.turningheadsdesigns.com,http://twitter.com/hkt_thd,http://facebook.com/TurningHeadsDesigns,https://www.linkedin.com/in/heatherturning/
25,,,,We are a leadership organization dedicated to making the Sacramento region a great place to live,,,,,Valley Vision,,,http://valleyvision.org,http://twitter.com/ValleyVisionSac,https://www.facebook.com/valleyvision/,https://www.linkedin.com/company/109319/
