id,contact_id,location_id,organization_id,service_id,country_prefix,department,extension,number,number_type,vanity_number
1,,1,,,,,,650 780-7525,voice,
2,,1,,,,,,650 701-0856,fax,
3,,2,,,,,4385,650 403-4300,voice,
4,,2,,,,,,650 403-4302,fax,
5,,3,,,,English,,650 403-4300,voice,
6,,3,,,,,,650 403-4303,fax,
7,,4,,,,,4500,650 403-4300,voice,
8,,4,,,,,,650 403-4303,fax,
9,,5,,,,,4100,650 403-4300,voice,
10,,5,,,,,,650 403-4303,fax,
11,,6,,,,,,650 326-2025,voice,
12,,6,,,,,,650 326-9547,fax,
13,,7,,,,,,650 322-0126,voice,
14,,7,,,,,,650 322-4067,fax,
15,,8,,,,,,650 323-2022,voice,
16,,8,,,,,,650 326-9547,fax,
17,,9,,,,,,650 780-7261,voice,
18,,9,,,,,,650 569-3371,fax,
19,,10,,,,Circulation,,650 780-7018,voice,
20,,10,,,,,,650 780-7069,fax,
21,,11,,,,,,650 780-7010,voice,
23,,12,,,,,,650 780-7077,voice,
24,,12,,,,,,650 780-7004,fax,
25,,13,,,,,,650 780-5740,voice,
26,,14,,,,,,650 368-4643,voice,
27,,14,,,,,,650 364-1712,fax,
28,,15,,,,,,415 643-8000,voice,
29,,15,,,,,,415 285-1391,fax,
30,,16,,,,,,408 720-0420,voice,
31,,16,,,,,,408 720-8075,fax,
32,,17,,,,,,650 266-4591,voice,
33,,17,,,,,,650 266-2594,fax,
34,,17,,,,,,650 266-4594,fax,
35,,18,,,,,,650 839-1447,voice,
36,,18,,,,,,650 839-1457,fax,
37,,19,,,,,,650 578-0400,voice,
38,,19,,,,,,650 578-0440,fax,
39,,21,,,,CalFresh,1223,7035551212,voice,703-555-ABCD
40,,21,,,,CalFresh,,2025551212,fax,
41,29,,,,+1,Referrals,1200,123-456-7890,voice,
42,29,,,,+1,Referrals,,202-555-1212,fax,
43,,22,,,,Information,123,650 372-6200,voice,222-555-INFO
44,,22,,,,Reservations,,650 627-8244,fax,
45,,22,,,,Hotline,,800 372-6200,hotline,
46,,22,,,,Rental Assistance,202,650 372-6200,tty,
52,36,,,,,CalFresh Applications,123,703-555-1212,voice,
53,,,8,,,Operations,101,123-456-7890,voice,
54,32,,,,,Operations,,703-444-1234,fax,
55,32,,,,,Operations,101,650-555-1212,voice,
56,,11,,,,,,650 365-3738,fax,
57,,,,22,,Passport Photos,123,123-456-7890,voice,
58,,,,22,,Passport Photos Fax,,789-456-1230,fax,
59,,,,22,,Passport Help via SMS,,650-222-5555,sms,
60,29,,,,,,,650-555-1212,sms,
