id,location_id,program_id,accepted_payments,alternate_name,application_process,audience,description,eligibility,email,fees,funding_sources,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
1,1,,"",,Walk in or apply by phone.,"Older adults age 55 or over, ethnic minorities and low-income persons","A walk-in center for older adults that provides social services, wellness, recreational, educational and creative activities including arts and crafts, computer classes and gardening classes.","Age 55 or over for most programs, age 60 or over for lunch program",,"$2.50 suggested donation for lunch for age 60 or over, donations for other services appreciated. Cash and checks accepted.","City, County, Donations, Fees, Fundraising",,"ADULT PROTECTION AND CARE SERVICES, Meal Sites/Home-delivered Mea, COMMUNITY SERVICES, Group Support, Information and Referral, EDUCATION SERVICES, English Language, RECREATION/LEISURE SERVICES, Arts and Crafts, Sports/Games/Exercise, Brown Bag Food Programs, Congregate Meals/Nutrition Sites, Senior Centers, Older Adults","",Fair Oaks Adult Activity Center,"",Colma,active,No wait.,,""
2,2,,"",,Apply by phone for an appointment.,Residents of San Mateo County age 55 or over,Provides training and job placement to eligible people age 55 or over who meet certain income qualifications.,"Age 55 or over, county resident and willing and able to work. Income requirements vary according to program",,None. Donations requested of clients who can afford it.,"County, Federal, State",,"EMPLOYMENT/TRAINING SERVICES, Job Development, Job Information/Placement/Referral, Job Training, Job Training Formats, Job Search/Placement, Older Adults","",Second Career Employment Program,"",San Mateo County,active,Varies.,,""
3,3,,"",,Phone for information (403-4300 Ext. 4322).,Older adults age 55 or over who can benefit from counseling,Offers supportive counseling services to San Mateo County residents age 55 or over.,Resident of San Mateo County age 55 or over,,None.,"County, Donations, Grants",,"Geriatric Counseling, Older Adults, Gay, Lesbian, Bisexual, Transgender Individuals, Mentoring Programs","",Senior Peer Counseling,"",San Mateo County,active,Varies.,,""
4,4,,"",,Apply by phone.,"Parents, children, families with problems of custody disputes, domestic violence or substance abuse, families going through a separation or divorce",Provides supervised visitation services and a neutral site for parents to carry out supervised exchanges of children in a safe manner. Provides counseling for child abuse prevention and domestic violence.,None,,"Vary according to income ($5-$90). Cash, checks and credit cards accepted.","County, Donations, Grants",,"INDIVIDUAL AND FAMILY DEVELOPMENT SERVICES, Growth and Adjustment, LEGAL AND CRIMINAL JUSTICE SERVICES, Mediation, Parental Visitation Monitoring, Divorce Counseling, Youth, Abuse Prevention, Child Abuse, Domestic Violence","",Family Visitation Center,"",San Mateo County,active,No wait.,,""
5,5,,"",,Phone for information.,Low-income working families with children transitioning from welfare to work and poor or who do not have access to conventional credit,"Provides fixed 8% short term loans to eligible applicants for the purchase of a reliable, used autmobile. Loans are up to $6,000 over 2 1/2 years (30 months). Funds must go towards the entire purchase of the automobile. Peninsula Family Service originates loans and collaborates with commercial partner banks to service the loans, helping clients build credit histories. Formerly known as Family Service Agency of San Mateo County, Ways to Work Family Loan Program.",Eligibility: Low-income family with legal custody of a minor child or an involved parent of a dependent minor child. Must reside and/or work in San Mateo County. Must be working and have verifiable income and ability to pay off loan. No bankruptcies in the past two years and unable to qualify for other funding sources. Loans approved by loan committee.,,$60 application fee. Cash or checks accepted.,"County, Grants, State",,"COMMUNITY SERVICES, Speakers, Automobile Loans","",Economic Self-Sufficiency Program,"",San Mateo County,active,,,""
6,6,,"",,Walk in or apply by phone for membership application.,Any age,"A multipurpose center offering a wide variety of recreational, education and cultural activities.",None,,"$55 per year membership dues. Classes have fees. Discounts are available for members. Cash, checks and credit cards accepted.","Fees, Fundraising, Grants, Dues",,"ADULT PROTECTION AND CARE SERVICES, In-Home Supportive, Meal Sites/Home-delivered Meals, COMMUNITY SERVICES, Group Support, Information and Referral, EDUCATION SERVICES, Adult, HEALTH SERVICES, Education/Information, Family Support, Individual/Group Counseling, Screening/Immunization, RECREATION/LEISURE SERVICES, Sports/Games/Exercise, Community Adult Schools, Senior Centers, Older Adults","",Little House Recreational Activities,"",San Mateo County,active,No wait.,,""
7,7,,"",,"Apply by phone or be referred by a doctor, social worker or other professional. All prospective participants are interviewed individually before starting the program. A recent physical examination is required, including a TB test.","Older adults who have memory or sensory loss, mobility limitations and may be lonely and in need of socialization","Rosener House is a day center for older adults who may be unable to live independently but do not require 24-hour nursing care, may be isolated and in need of a planned activity program, may need assistance with activities of daily living or are living in a family situation where the caregiver needs respite from giving full-time care. Assists elderly persons to continue to live with family or alone rather than moving to a skilled nursing facility. Activities are scheduled Monday-Friday, 10 am-2:30 pm, and participants may come two to five days per week. The facility is open from 8 am to 5:30 pm for participants who need to remain all day. Small group late afternoon activities are held from 3-5:30 pm. The program provides a noon meal including special diets as required. Services offered include social and therapeutic recreational activities, individual and family counseling and occupational, physical and speech therapy. A registered nurse is available daily.",Age 18 or over,,"$85 per day. Vary according to income for those unable to pay full fee. Cash, checks, credit cards, private insurance and vouchers accepted.","Donations, Fees, Grants",,"ADULT PROTECTION AND CARE SERVICES, Adult Day Health Care, Dementia Management, Adult Day Programs, Older Adults","",Rosener House Adult Day Services,"","Belmont, Burlingame, East Palo Alto",active,No wait.,,""
8,8,,"",,Apply by phone.,"Senior citizens age 60 or over, disabled individuals age 18-59","Delivers a hot meal to the home of persons age 60 or over who are primarily homebound and unable to prepare their own meals, and have no one to prepare meals. Also, delivers a hot meal to the home of disabled individuals ages 18-59. Meals are delivered between 9 am-1:30 pm, Monday-Friday. Special diets are accommodated: low fat, low sodium, and low sugar.",Homebound person unable to cook or shop,,Suggested donation of $4.25 per meal for seniors 60 or over. Mandatory charge of $2 per meal for disabled individuals ages 18-59.,"County, Donations",,"ADULT PROTECTION AND CARE SERVICES, Meal Sites/Home-delivered Mea, HEALTH SERVICES, Nutrition, Home Delivered Meals, Older Adults, Disabilities Issues","",Meals on Wheels - South County,"","Belmont, East Palo Alto",active,No wait.,,""
9,9,,"",,Walk in. Proof of residency in California required to receive a library card.,"Ethnic minorities, especially Spanish speaking","Provides general reading material, including bilingual, multi-cultural books, CDs and cassettes, bilingual and Spanish language reference services. School, class and other group visits may be arranged by appointment. The library is a member of the Peninsula Library System.",Resident of California to obtain a library card,,None.,"City, County",,"EDUCATION SERVICES, Library, Libraries, Public Libraries","",Fair Oaks Branch,"",San Mateo County,active,No wait.,,""
10,10,,"",,Walk in. Proof of California residency to receive a library card.,,"Provides general reading and media materials, literacy and homework assistance, and programs for all ages. Provides public computers, wireless connectivity, a children's room, teen center, and a local history collection.",Resident of California to obtain a card,,None.,City,,"EDUCATION SERVICES, Library, Libraries, Public Libraries","",Main Library,"",San Mateo County,active,No wait.,,""
